"participantID","videoID","order","condition","comprehensionCheckQ1Correct","comprehensionCheckQ2Correct","accuracy","IRI_EC","IRI_PT","IRI_PD","LT_Empathy","SPS","SIAS","gender","age"
"d60f649c","137_6",1,"both",FALSE,TRUE,0.528668672708499,21,23,12,17,34,24,"M",29
"00d76c86","124_3",1,"both",FALSE,TRUE,0.428315964797689,27,25,13,12,34,57,"F",29
"d7093703","137_6",1,"both",TRUE,TRUE,0.782424154832532,20,21,9,12,2,11,"F",43
"6ffa96d8","161_3",1,"both",TRUE,TRUE,-0.00108006627901851,28,27,22,11,27,17,"F",59
"1e6a8842","173_4",1,"both",TRUE,TRUE,0.885898015110705,21,21,8,12,0,8,"F",50
"453e0326","129_2",1,"both",TRUE,TRUE,-0.423591369594141,24,24,18,12,34,20,"F",28
"ad75429c","181_2",1,"both",TRUE,TRUE,0.739653878858621,28,26,18,12,76,69,"M",26
"25229983","173_6",1,"both",TRUE,TRUE,-0.353645813141447,17,19,7,15,24,46,"M",30
"81f9af65","178_6",1,"both",TRUE,TRUE,0.598532330981933,17,19,3,12,6,4,"F",47
"e16e98bb","147_5",1,"both",TRUE,TRUE,-0.0707415058899752,23,19,12,12,27,27,"F",33
"879e8bdd","153_3",1,"both",TRUE,TRUE,0.859054822094329,27,28,20,12,43,20,"F",33
"11cd5528","170_2",1,"both",TRUE,TRUE,-0.435761888726243,24,18,3,12,22,36,"F",52
"d90fae2e","170_2",1,"both",TRUE,TRUE,0.393557397119849,18,18,23,11,68,69,"F",25
"042b5df1","151_2",1,"both",TRUE,TRUE,0.894083535511189,28,16,5,12,54,43,"F",25
"53a690b5","153_3",1,"both",TRUE,TRUE,0.929233563697254,28,24,4,12,24,39,"M",32
"c3a11fc3","147_2",1,"both",FALSE,TRUE,-0.0192563715729423,23,23,4,12,0,5,"M",24
"acbe3232","167_2",1,"both",TRUE,TRUE,0.736595084347547,20,15,6,11,10,28,"F",33
"5cc2c70d","147_5",1,"both",TRUE,TRUE,-0.361246664757854,23,22,6,11,24,22,"M",28
"0c35a2b2","137_6",1,"both",TRUE,TRUE,0.442440985287166,27,28,4,12,3,9,"F",31
"65842ff8","124_3",1,"both",TRUE,TRUE,0.490610932817403,9,15,4,12,6,16,"M",32
"227ac3ad","181_4",1,"both",TRUE,TRUE,0.784742281568795,27,18,22,12,2,11,"F",32
"30c8d7d1","137_6",1,"both",TRUE,TRUE,0.833473682189156,21,21,9,12,0,7,"M",60
