"participantID","videoID","order","condition","accuracy","IRI_EC","IRI_PT","IRI_PD","gender","age"
"cd2307c1","HID119_vid5",2,NA,NA,15,15,13,"M",28
"8eb969b5","HID127_vid4",2,NA,NA,14,11,15,"M",29
"7151b148","HID127_vid4",2,"audioOnly",0.444419520198934,25,28,4,"M",35
"76ce2593","HID119_vid5",2,NA,NA,14,14,19,"M",30
"0f320ecb","HID53_vid2",2,NA,NA,12,20,11,"F",26
"078a1f58","HID53_vid2",2,"audioOnly",-0.33609452572567,21,28,8,"F",24
"16b43572","HID53_vid2",2,"audioOnly",0.365064021603816,19,22,21,"F",36
"add79466","HID127_vid4",2,"audioOnly",-0.212756362646826,19,28,7,"M",38
"478ff302","HID127_vid4",2,"audioOnly",0.602467524220602,22,22,7,"M",28
"0c105b0d","HID127_vid4",2,"audioOnly",0.174251470367435,3,4,10,"F",49
"f97f70d5","HID53_vid2",2,"audioOnly",0.425959952171765,25,15,6,"M",36
"ad0b8869","HID119_vid5",2,"audioOnly",-0.385901373064494,23,28,12,"F",35
"c78ae839","HID119_vid5",2,"audioOnly",0.327782812064477,25,24,10,"M",41
"94732362","HID53_vid2",2,"audioOnly",-0.371248625841852,25,25,8,"M",32
"34547b55","HID127_vid4",2,"audioOnly",-0.418032596079851,28,28,5,"F",30
"d7f7c7d1","HID53_vid2",2,"audioOnly",0.594187653198691,25,28,4,"F",34
"2e29cafe","HID119_vid5",2,"audioOnly",-0.195024929552073,26,17,12,"F",45
"43605646","HID53_vid2",2,"audioOnly",0.575362651183738,16,14,2,"M",45
